producto,fecha,CostesModelo,CostesEmpresa,Coste_Total_XGB,Coste_Total_STCK2,Coste_Total_XGB2
5,2019-12-28,226.0,1587.0,202.0,208.0,203.0
5,2019-12-30,157.0,1645.0,166.0,154.0,152.0
5,2019-12-31,206.0,2389.0,190.0,198.0,448.0
5,2020-01-02,238.0,2111.0,238.0,239.0,236.0
5,2020-01-03,296.0,2076.0,299.0,292.0,304.0
5,2020-01-04,223.0,1911.0,217.0,220.0,204.0
5,2020-01-07,285.0,1236.0,289.0,293.0,251.0
5,2020-01-08,337.0,1156.0,399.0,407.0,353.0
5,2020-01-09,359.0,1144.0,368.0,381.0,437.0
5,2020-01-10,446.0,537.0,470.0,449.0,505.0
5,2020-01-11,361.0,1845.0,326.0,333.0,289.0
5,2020-01-13,284.0,922.0,281.0,269.0,328.0
5,2020-01-14,474.0,925.0,497.0,472.0,513.0
5,2020-01-15,335.0,1230.0,327.0,323.0,322.0
5,2020-01-16,294.0,1291.0,287.0,263.0,267.0
5,2020-01-17,408.0,1027.0,403.0,365.0,457.0
5,2020-01-18,217.0,1762.0,222.0,219.0,307.0
5,2020-01-20,189.0,1699.0,231.0,231.0,193.0
5,2020-01-21,256.0,1568.0,282.0,280.0,279.0
5,2020-01-22,296.0,1755.0,300.0,292.0,297.0
5,2020-01-23,230.0,1697.0,265.0,260.0,304.0
5,2020-01-24,263.0,2436.0,308.0,275.0,337.0
5,2020-01-25,233.0,1470.0,235.0,247.0,199.0
5,2020-01-27,217.0,975.0,228.0,226.0,263.0
5,2020-01-28,272.0,1172.0,277.0,249.0,340.0
5,2020-01-29,274.0,1292.0,287.0,262.0,313.0
9,2019-11-15,277.0,1134.0,327.0,318.0,315.0
9,2019-11-16,145.0,2355.0,100.0,73.0,67.0
9,2019-11-18,319.0,1448.0,302.0,388.0,329.0
9,2019-11-19,300.0,1907.0,262.0,240.0,421.0
9,2019-11-20,170.0,3921.0,133.0,145.0,125.0
9,2019-11-21,397.0,1312.0,365.0,592.0,364.0
9,2019-11-22,4878.0,6302.0,5166.0,4445.0,6876.0
9,2019-11-23,1078.0,2377.0,969.0,916.0,1247.0
9,2019-11-25,1504.0,1395.0,1277.0,1534.0,2041.0
9,2019-11-26,284.0,1335.0,1100.0,98.0,544.0
9,2019-11-27,266.0,4030.0,696.0,196.0,554.0
9,2019-11-28,470.0,3434.0,713.0,588.0,827.0
