predictions,producto,predictions_XGB,predictions_XG2,predictions_STCK2,predictions_LSTM
0.0,9,424.0,581.0,1375.0,1062.0
0.0,9,791.0,1229.0,2280.0,1648.0
0.0,9,1368.0,980.0,2185.0,1647.0
0.0,9,1394.0,1387.0,1866.0,1427.0
0.0,9,1875.0,1758.0,2374.0,2895.0
0.0,9,595.0,457.0,1959.0,1441.0
0.0,9,668.0,1185.0,2620.0,1136.0
0.0,9,1616.0,1480.0,2295.0,2293.0
0.0,9,2475.0,1960.0,4456.0,3617.0
0.0,9,1163.0,1330.0,2205.0,1267.0
0.0,9,1521.0,1097.0,311.0,2143.0
0.0,9,350.0,506.0,1507.0,1095.0
0.0,9,614.0,871.0,1838.0,963.0
0.0,9,1281.0,1291.0,1467.0,1661.0
0.0,9,2266.0,1351.0,2269.0,2875.0
0.0,9,184.0,822.0,1378.0,772.0
0.0,9,1511.0,1610.0,938.0,1572.0
0.0,9,490.0,511.0,1639.0,1017.0
0.0,9,1251.0,1717.0,1243.0,1605.0
0.0,9,1312.0,1657.0,1334.0,1450.0
0.0,9,615.0,858.0,484.0,679.0
0.0,9,2524.0,2100.0,2647.0,2569.0
0.0,9,3165.0,3056.0,2406.0,2288.0
0.0,9,1438.0,1797.0,1520.0,1663.0
0.0,9,723.0,664.0,332.0,673.0
0.0,9,707.0,550.0,1112.0,1191.0
0.0,9,1066.0,882.0,1227.0,1375.0
0.0,9,1702.0,2077.0,1785.0,2323.0
0.0,9,1422.0,1167.0,1820.0,1674.0
0.0,9,508.0,459.0,318.0,629.0
0.0,9,1789.0,1937.0,1886.0,1766.0
0.0,9,905.0,975.0,1151.0,1298.0
0.0,9,618.0,589.0,531.0,644.0
0.0,9,2362.0,3127.0,2409.0,2498.0
0.0,9,1207.0,1877.0,1306.0,1033.0
0.0,9,474.0,447.0,350.0,579.0
0.0,9,1649.0,1657.0,1781.0,1716.0
0.0,9,720.0,747.0,853.0,764.0
0.0,9,640.0,561.0,447.0,608.0
0.0,9,2695.0,2450.0,2328.0,2149.0
0.0,9,1194.0,1778.0,1244.0,1233.0
0.0,9,387.0,783.0,211.0,324.0
0.0,9,1827.0,1496.0,1619.0,1869.0
0.0,9,772.0,561.0,745.0,896.0
0.0,9,557.0,473.0,0.0,435.0
